SiteCode,Year,CAMPAGNE,VOLET,DATE,JOURJULIEN,Site,Lac,LATITUDE,LONGITUDE,Region,TYPE,VENTMAX,VENTMOY,TEMPAIR,HUMREL,PATM,NUAGE,VAGUES,SecchiDepth,MaxDepth,DepthEPILIMNION,ZÉCH,Temp,Conductivity,Doperc,Docorr,DOmgL,pH,Alcalinity,AbundanceBact,ABONDANCE BACT. _ ES (cells/ml),PRODUCTION BACT._MOY       (µg C/L/j),RESPIRATION TOTALE _ MOY (µgC/L/j),RESPIRATION TOTALE _ ES (µgC/L/j),RESPIRATION BACT. _ MOY (µgC/L/j), RESPIRATION BACT. _ ES (µgC/L/j),ZooBiomass,ZBP (mg C m-3 j-1),ZP:B CBA (j-1),ZP:B LOPC (j-1),ChlA, CHL a _ ES (µg/L),TP, TP _ ES (µg/L), TN, TN _ ES (mg/L),NH4,[NH4] _ ES (ug/L),NO3,[NO3] _ ES (ug/L),Iron, DOC, DOC _ ES (mg/L - ppm), DIC, DIC _ ES (mg/L - ppm), LABILITÉ, LABILITÉ _ ES (mgC/L/j),COULEUR-CDOM      ABS. 440nm (m-1),FLUORESCENCE C1 (Ru),FLUORESCENCE C2 (Ru),FLUORESCENCE C3 (Ru),FLUORESCENCE C4 (Ru),FLUORESCENCE C5 (Ru),FLUORESCENCE C6 (Ru),pCO2 AIR AMBIANT DE EGM (ppm),pCO2 EAU (ppm) DE EGM,pCH4 EAU _ MOY (ppm)  DU GC,pCH4 EAU _ ES (ppm)  DU GC,pN2O EAU _ MOY  (ppm)  DU GC Rox,pN2O EAU _  ES (ppm)  DU GC Rox,FLUX CO2 _ MOY (mmol m-2 d-1) EGM ,FLUX CH4 (mmol m-2 d-1) GC,FLUX N2O (mmol m-2 d-1) GC Rox,k600 (m j-1),KCO2 (m j-1),2H2O (Hatch Lab),H2O18 (Hatch Lab),2H2O (Colorado),H2O18 (Colorado),2H2O (UTrent),H2O18 (UTrent),H2O17 (LSCE),O17 (Hatch Lab),O18 (Hatch Lab),DIC13 (Hatch Lab),DIC13 (Colorado),DOC13 (Hatch Lab),DOC13 (Colorado),ppmDIC (Hatch Lab),ppmDIC (Colorado),ppmDOC (Hatch Lab),ppmDOC (Colorado),%C POM (Colorado),%N POM (Colorado),C13 POM (Colorado),N15 POM (Colorado),C/N POM (Colorado),H2 POM (Colorado),%H (Colorado),H2 DOM (Colorado),mgPOC/L/filter (Colorado),pour trier,Commentaires
425708679,2010,2,L,30-07-2010,211,L073,Lac Loïs,48.57441,-78.80695,Abitibi,clay,3.25,2.75,15,76.35,981.15,3,4,0.22,2.7,-,0.5,19.51,56,96.8,96.19,8.59,7.15,,4030281,94781,6.27,67.5,3.18,76.5,3.18,,,,,8.81,0.55,91.38,3.35,0.417,0.013,,,,,31.409,13.354,0.314,1.201,0.119,-0.022,0.001,3.11,0.752,0.873,0.312,0.141,0.288,0.282,383,744,31.63,3.53,,,29.48,0.033,,2.088,2.056,-80.74,-10.44,,,,,,11.51,22.88,,,,,,,,,,,,,,,,,,76,
425708681,2010,2,L,30-07-2010,211,L074,Lac Chavigny,48.63496,-78.75678,Abitibi,clay,3.6,2.3,16.35,60.85,980.85,5,5,0.3,3,-,0.5,19.8,67,89.8,92.44,8.2,7.6,,4184262,125848,4.86,117,6.36,81,0,,,,,16.04,0.07,70.56,0,0.545,0.006,,,,,23.534,17.559,0.07,1.211,0.014,,,4.83,1.433,1.573,0.605,0.164,0.455,0.464,375,694,119.85,,,,29.4,0.537,,2.354,2.34,-61.42,-10.68,,,,,,10.11,20.43,,,,,,,,,,,,,,,,,,77,
425731152,2010,2,L,30-07-2010,211,L075,Lac Dances,48.52325,-79.42607,Abitibi,bog - kettle,1.3,0.6,21,41.4,981.2,3,2,1.5,1.5,-,0.5,20.17,110,85.3,87.67,7.72,7.29,,4500644,40563,33.59,166.5,9.55,85.5,9.55,,,,,2.75,0.16,18.2,0.81,0.561,0.013,,,,,9.971,17.113,0.477,1.184,0.077,-0.038,0.008,4.03,1.024,1.128,0.464,0.193,0.47,0.462,374,2391,3611.88,484.36,,,99.03,9.381,,1.252,1.26,-65.18,-9.63,-81.61,-10.35,,,,9.89,19.51,,-6.43,,-27.85,,5.41,,13.16,199.23,26.09,-33.44,0.92,7.64,-135.4,2.1,,0.256,78,Z Secchi plus profond que Z max; pCO2 EAU mesuré par headspace et non par poumon
425716242,2010,2,L,01-08-2010,213,CJF1,Lac Monsabrais,48.48073,-79.40849,Abitibi,bog,0,0,21,,991.8,3,0,,,-,0.5,20.94,64,94.6,97.59,8.46,7.65,,2940216,83145,,130.5,22.27,76.5,3.18,,,,,4.45,0.05,12.24,0.29,0.489,0.004,,,,,14.854,11.407,0.116,6.018,0.404,-0.05,0.004,2.19,0.51,0.582,0.237,0.107,0.266,0.32,388,1263,903.08,4.97,,,1.6,,,0.047,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,79,pCO2 EAU mesuré par headspace et non par poumon
425691724,2010,3,L,03-10-2010,276,L085,Lac Renaud,48.1865,-79.27892,Abitibi,eau claire,2.55,1.5,6,85.95,994.7,8,2,2,2,-,0.5,9.1,358,90.9,92.78,10.49,7.48,,2662894,9349,21.19,72.4,7.95,92.94,0.17,,,,,0.78,0.12,17.21,1.51,0.455,0.028,,,,,12.902,11.595,0.239,8.989,1.884,-0.034,0.002,3.92,0.898,1.314,0.598,0.223,0.47,0.261,377,1172,54.05,0.08,,,26.67,0.035,,0.903,0.606,-72.61,-9.86,,,,,,11.85,23.24,,,,,,,,,,,,,,,,,,91,Z Secchi plus profond que Z max
425691719.1,2010,3,L,03-10-2010,276,L086,Lac Fortune,48.19083,-79.30194,Abitibi,eau claire,1.65,1.1,6.4,88,994.95,7,2,2.6,8,-,0.5,12.21,162,96.8,98.69,10.37,7.85,,1879551,42552,19.87,72.7,1.46,42.75,2.29,,,,,1.52,0.13,10.62,1.07,0.256,0.008,,,,,6.888,7.703,0.873,3.586,3.614,-0.03,0.006,0.23,0.086,0.148,0.062,0.02,0.096,0.098,377,517,52.14,1.59,,,11.19,0.128,,2.114,1.603,-67,-8,,,,,,11.79,23.12,,,,,,,,,,,,,,,,,,92,
425700968,2010,3,L,03-10-2010,276,L087,Lac Matissard,48.43141,-78.68851,Abitibi,clay,1.85,1.4,9.15,74.15,995.05,6,1,0.7,3,-,0.5,10.33,45,89.5,91.32,10.03,7.07,,143017,6015,12.49,74.14,8.33,55.86,4.15,,,,,0.99,0.17,32.2,0.06,0.467,0.001,,,,,78.816,13.374,0.11,3.685,0.006,-0.031,0.01,6.45,1.403,1.955,0.797,0.275,0.462,0.369,377,1310,133.24,1.07,,,77.38,0.428,,2.217,1.563,-72.38,-11.21,-81.94,-11.42,,,,12.75,25.02,,-9.91,,-27.35,,3.56,,12.47,121.78,16.01,-34.2,1.11,7.61,-133.6,3.1,,0.166,93,
253038658,2010,3,L,04-10-2010,277,L090,Lac des Frères,48.93595,-79.1804,Abitibi,kettle,2.55,1.1,16,38,983.95,0,5,5.25,8.4,-,0.5,12.21,9,87.6,90.22,9.4,5.02,,1271897,36116,2.15,29.9,0.04,33.07,1.71,,,,,0.11,ND,5.86,0.69,0.119,0,,,,,13.031,5.494,0.062,0.539,0.033,-0.017,0.003,0.35,0.039,0.142,0.068,0.028,0.059,0.039,381,1028,417.25,,,,68.1,1.682,,2.785,2.112,-72.86,-8.1,,,,,,11.3,22.57,,,,,,,,,,,,,,,,,,96,
253008039,2010,3,L,06-10-2010,279,L097,Lac Abitibi,48.66222,-79.345,Abitibi,clay,3.13,2.57,15.33,48.47,977.13,1,13,0.1,2,-,0.5,9.5,104,97.4,101.61,11.11,7.57,,4522179,116410,4.26,53.34,4.62,16.98,4.92,,,,,1.65,0.33,112.11,1.07,0.705,0.014,,,,,12.653,15.932,0.048,,,-0.075,0.006,5.87,1.628,2.197,0.953,0.164,0.573,0.447,383,688,11.63,0.79,,,49.96,0.034,,4.399,3,-83.44,-10.75,,,,,,12.01,24.02,,,,,,,,,,,,,,,,,,103,DOC/DIC: valeurs non corrigées
425716229,2010,3,L,07-10-2010,280,L098,Lac Duparquet,48.48519,-79.26385,Abitibi,clay,8,3.6,15.4,50.3,971.05,1,25,0.6,7.4,-,0.5,10.77,93,96.7,107.29,10.8,7.75,,,,16.44,78.89,1.33,47.96,1.18,,,,,1.32,0,44.93,0.25,0.472,0.017,,,,,59.728,13.882,0.147,,,-0.017,0.004,4.84,1.287,1.621,0.655,0.236,0.457,0.32,379,543,24.19,0.5,,,35.78,0.168,,5.818,4.172,-85.16,-10.78,-82.14,-11.14,,,,11.59,22.97,,-8.49,,-27.16,,8.27,,12.72,252.19,33.58,-33.66,1,7.51,-142.2,2.4,,0.332,104,DOC/DIC: valeurs non corrigées
425716236,2010,3,L,07-10-2010,280,L099,Lac Voisin,48.49,-79.34333,Abitibi,humique,5.4,2.75,10.65,73.05,971.9,0,30,1.75,3.7,-,0.5,10.64,50,103,99.36,11.45,7.39,,5599136,207381,,55.09,0.33,42.84,11.72,,,,,1.02,0.3,25.24,0.5,0.538,0.008,,,,,37.97,16.695,0.096,,,-0.007,0.001,6.1,1.677,1.881,0.747,0.258,0.512,0.486,380,980,80.4,6.91,,,106.8,0.48,,4.75,3.389,-78.45,-9.35,,,,,,11.96,23.59,,,,,,,,,,,,,,,,,,105,DOC/DIC: valeurs non corrigées
425716242,2010,3,L,07-10-2010,280,L100,Lac Montsabrais,48.48073,-79.40849,Abitibi,bog,2.7,0.7,11,69.7,969.5,0,0,1.5,1.5,-,0.5,10.54,87,95.7,107.17,10.65,7.07,,,,,49.98,1.97,66.64,2.16,,,,,0.61,0.17,11.75,0.31,0.51,0.017,,,,,0.087,12.343,0.021,,,-0.01,0.002,3.11,0.795,0.889,0.373,0.183,0.301,0.326,386,874,297.11,5.87,,,46.13,1.811,,2.524,1.794,-75.74,-8.98,,,,,,11.49,22.71,,,,,,,,,,,,,,,,,,106,DOC/DIC: valeurs non corrigées
425731149,2010,3,L,08-10-2010,281,H011,Lac Hébécourt,48.51212,-79.3774,Abitibi,clay,2.75,1.85,11.3,83.1,972.85,8,4,1.25,3.3,-,0.5,10.41,92,96,100.07,10.73,7.75,,,,,70.5,5.1,34.7,5,,,,,5.07,0.66,26.62,0,0.356,0.001,,,,,15.361,9.339,0.119,8.567,0.067,-0.025,0.028,2.07,0.393,0.536,0.234,0.093,0.243,0.216,387,602,40.71,0.4,,,34.37,0.115,,4.271,3.02,,,-77.95,-8.97,,,,11.13,22.78,,-6.69,,-26.9,,8.4,,9.1,,,,,,,,,,107,
425731149,2011,5,L,19-01-2011,19,H013,Lac Hébécourt,48.51212,-79.3774,Abitibi,clay,,,,,,,,,3,-,0.5,0.18,111,94,95.99,13.68,,,,,,,,,,,,,,,,23.49,3.81,0.479,0.001,,,,,,11.308,0.143,9.876,0.017,-0.037,0.009,2.07,0.472,0.661,0.299,0.098,0.308,0.249,403,829,32.77,,,,,,,,,,,-80.05,-9.7,,,,13.13,23.56,,-5.26,,-26.98,,9.8,,10.7,,,,,,,,,,108,
425691724,2011,5,L,20-01-2011,20,L101,Lac Renaud,48.1865,-79.27892,Abitibi,eau claire,,,,,,,,,1,-,0.5,1.73,311,13.6,14.15,1.91,,,,,,,,,,,,,,0.69,0.46,5.92,1.13,0.396,0.02,,,,,47.695,9.186,0.111,20.472,0.087,,,2.53,,,,,,,399,5677,167.22,,,,,,,,,,,-78.95,-11.08,,,,13.42,23.49,,,,,,,,,,,,,,,,,,109,
425691719.1,2011,5,L,20-01-2011,20,L102,Lac Fortune,48.19083,-79.30194,Abitibi,eau claire,,,,,,,,,12,-,0.5,0.5,178,99.6,103.12,14.34,,,,,,,,,,,,,,5.48,0.54,17.86,0.45,0.273,0.005,,,,,4.086,5.076,0.056,10.8,0.093,,,0.58,,,,,,,399,400,20.66,,,,,,,,,,,-71.64,-8.6,,,,12.08,21.66,,,,,,,,,,,,,,,,,,110,
425716229,2011,5,L,21-01-2011,21,L103,Lac Duparquet,48.50965,-79.31643,Abitibi,clay,,,,,,,,,4,-,0.5,0.13,79,88.3,91.43,12.88,,,,,,,,,,,,,,2.38,0.51,18.76,3,0.617,0.011,,,,,75.589,19.656,0.237,7.773,0.021,,,11.85,,,,,,,430,2719,73.16,0.32,,,,,,,,,,-84.76,-11.07,,,,13.16,24.31,,,,,,,,,,,,,,,,,,111,
253038658,2011,5,L,22-01-2011,22,L104,Lac des Frères,48.93595,-79.1804,Abitibi,Kettle,,,,,,,,,9.5,-,0.5,0.33,14,83.5,86.45,12.1,,,,,,,,,,,,,,0.2,0.02,4.19,3,0.164,0.001,,,,,19.548,3.106,0.003,0.737,0.025,,,0.92,,,,,,,407,1364,44.13,,,,,,,,,,,-78.03,-9.32,,,,12.81,22.5,,,,,,,,,,,,,,,,,,112,
253008039,2011,5,L,22-01-2011,22,L105,Lac Abitibi,48.62749,-79.49862,Abitibi,clay,,,,,,,,,2.2,-,0.5,0.27,148,112.8,115.02,16.39,,,,,,,,,,,,,,0.46,0.08,38.06,0.68,0.638,0.006,,,,,,19.294,0.208,13.308,0.07,,,8.86,,,,,,,416,1150,31.73,0.27,,,,,,,,,,,,,,,12.09,20.93,,,,,,,,,,,,,,,,,,113,
425731149,2011,6,L,16-03-2011,75,D003,Lac Hébécourt,48.51212,-79.3774,Abitibi,clay,,,,,,,,,2.5,-,0.5,1.18,105,100.8,104.25,14.26,7.05,,,,,,,,,,,,,2.44,1.24,27.19,0.95,0.733,0.018,,,,,7.833,11.924,0.133,11.133,0.006,,,2.53,0.594,0.564,0.281,0.103,0.201,0.12,401,1860,32.89,,,,,,,,,,,-80.55,-10.34,,,,13.56,24.16,,,,,,,,,,,,,,,,,,114,
425716229,2011,6,L,16-03-2011,75,L106,Lac Duparquet,48.50965,-79.31643,Abitibi,clay,,,,,,,,,2.8,-,0,0.47,105,99,102.56,14.29,6.95,,,,,,,,,,,,,0.85,0.07,17.18,1.88,0.481,0.017,,,,,13.279,14.336,0.209,11.69,0.048,,,4.14,,,,,,,430,1845,21.69,,,,,,,,,,,-87.51,-11.87,,,,14.05,25.4,,,,,,,,,,,,,,,,,,115,
253038658,2011,6,L,17-03-2011,76,L107,Lac des Frères,48.93595,-79.1804,Abitibi,Kettle,1.8,1.3,2.6,87.5,973.1,8,,,9.2,-,0,0.96,10,80.4,83.46,11.45,4.86,,,,,,,,,,,,,0.37,0.02,5.92,0.83,0.167,0.026,,,,,7.334,2.679,0.021,1.045,0.027,,,0.69,,,,,,,422,1654,95.1,1.54,,,,,,,,,,-75.1,-8.71,,,,11.93,19.71,,,,,,,,,,,,,,,,,,116,
425691724,2011,6,L,18-03-2011,77,L108,Lac Renaud,48.18528,-79.28266,Abitibi,eau claire,3.2,1,-7.8,80.3,981.7,8,,,0.35,-,0,1.65,415,27.3,28.03,3.8,6.77,,,,,,,,,,,,,0.31,0.09,13.8,0.45,0.702,0.066,,,,,3.308,10.639,0.03,23.398,0.097,,,3.57,,,,,,,436,7396,22.73,2.07,,,,,,,,,,-106.49,-14.85,,,,11.32,18.46,,,,,,,,,,,,,,,,,,117,
253008039,2011,6,L,20-03-2011,79,L109,Lac Abitibi,48.6278,-79.50201,Abitibi,clay,4.1,3,0.5,65.2,997,8,,,1,-,0,0.9,127,110.3,111.67,15.73,7.15,,,,,,,,,,,,,2.09,0.04,27.92,1.95,0.581,0.021,,,,,48.375,18.347,0.2,13.511,0.075,,,7.02,,,,,,,436,1277,33.95,2.6,,,,,,,,,,-91.31,-12.64,,,,10.98,17.38,,,,,,,,,,,,,,,,,,118,
422535057,2010,1,L,01-06-2010,152,L008,Lac Ducharme,49.26388,-79.13253,Baie James,bog,3.47,2.33,13.43,60.13,968.23,2,2,2.1,2.1,-,0.5,16.49,17,88.6,92.3,8.66,6.6,,1760471,60521,7.05,63,0,67.5,13.5,,,,,1.33,0.01,5.65,0.25,0.227,0.002,,,,,4.112,9.028,0.054,1.198,0.013,-0.051,0.003,4.03,0.525,0.677,0.116,0.256,0.097,0.209,399,828,252.68,3.07,,,26.2,0.25,,1.581,1.404,,,,,-96.1,-12.52,,,,-12.74,,-27.57,,1.57,,6.82,,,,,,,,,,,9,Z Secchi plus profond que Z max
422535064,2010,1,L,01-06-2010,152,L009,Lac John (A),49.3457,-79.20248,Baie James,kettle,2.07,0.9,22.3,44.3,971.5,2,0,5.75,27.2,3,0.5,16.81,11,98.6,102.63,9.58,6.42,,571265,24518,5.99,58.5,4.5,58.5,4.5,,,,,1.48,,5.58,0.31,0.143,0.01,,,,,,5.677,0.003,1.167,0.02,-0.027,0.002,0.46,0.025,0.117,0.041,0.026,0.071,0.083,371,433,56.29,,,,9.34,0.484,,3.897,3.499,,,-72.25,-8.27,,,,,,-12.12,,-27.34,,0.83,,2.64,,127.61,14.34,-29.13,-0.91,8.9,-155.7,0.3,,0.126,10,
422535058,2010,1,L,01-06-2010,152,L010,Lac Boily,49.34048,-79.20161,Baie James,kettle,3.37,2.1,23.33,41.03,968.93,4,6,6,12.9,3,0.5,17.59,8,97,101.21,9.27,5.57,,337128,8926,23.88,54,9,63,,,,,,0.93,0.07,4.89,0.13,0.103,0.005,,,,,8.839,5.073,0.004,1.052,0.03,-0.005,,0.23,0,0.066,0.003,0.019,0.064,0.129,385,576,209.82,6.76,,,25.7,0.892,,3.467,3.199,,,,,-75.06,-8.28,0,,,-14.34,,-29.19,,0.65,,1.5,,,,,,,,,,,11,Z Secchi plus profond que la longueur de la corde
429801138,2010,1,L,04-06-2010,155,L015,Lac Sainte-Hélène,49.81611,-78.32531,Baie James,clay,6.1,3.9,5.3,72.15,979.55,5,30,1.3,0.7,-,0.5,14.84,21,105.5,108.84,10.68,7.22,,1402503,43477,3.91,45,0,58.5,13.5,,,,,2.68,0.14,12.13,7.74,0.261,0.004,,,,,89.499,13.008,0.043,2.563,0.066,,,7.59,1.294,1.441,0.316,0.357,0.159,0.434,397,552,39.29,2.63,,,25.18,0.034,,4.239,3.547,,,,,-84.84,-10.62,,,,-12.21,-8.23,-27.76,-27.12,2.36,1.67,6.2,11.13,,,,,,,,,,16,
429801147,2010,1,L,04-06-2010,155,L016,Lac Grasset,49.92639,-78.14574,Baie James,clay,4.9,3.45,6.15,76.5,982.1,1,95,0.3,2.7,-,0.5,14.31,42,107,110.32,10.95,7.4,,1423272,34909,0.86,45,9,36,0,,,,,4.05,0.25,59.19,4.47,0.291,0.002,,,,,53.213,13.718,0.121,4.408,0.026,-0.032,0.006,6.9,1.415,1.64,0.456,0.325,0.233,0.426,398,535,9.45,0.99,,,13.83,0.034,,2.642,2.169,,,,,-95.23,-12.92,,,,-8.22,-7.39,-27.03,-26.75,4.52,3.91,3.9,14.44,,,,,,,,,,17,
429801139,2010,1,L,04-06-2010,155,L017,Lac des Rats,49.80972,-78.1705,Baie James,clay,1.7,1.1,8.6,59.35,979.5,2,8,0.4,0.5,-,0.3,16.69,28,99.7,102.85,9.7,7.18,,844503,43870,19,171,9,103.5,13.5,,,,,11.15,0.14,30.25,3.34,0.578,0.013,,,,,12.2,22.254,0.281,2.457,0.003,-0.034,,10.93,3.599,3.697,1.258,0.2,0.226,1.422,378,437,38.13,5.63,,,17,,,7.452,6.664,,,,,-82.22,-10.64,,,,-13.22,-10.07,-27.02,-26.78,2.15,1.68,3.6,19.73,,,,,,,,,,18,
419068579,2010,1,L,05-06-2010,156,L018,Lac Lucie,50.39634,-78.45187,Baie James,humique,1.15,0.75,11.1,42.4,980.7,6,10,1.5,7.1,-,0.5,14.37,27,95.3,98.2,9.75,7.09,,4075915,104621,6.23,36,9,36,0,,,,,2.83,0.04,9.11,2.08,0.207,0.001,,,,,19.679,12.615,0.112,2.833,0.042,-0.027,0.001,6.44,1.143,1.437,0.365,0.285,0.193,0.316,400,571,20.3,0.74,,,27.03,,,4.135,3.401,,,,,-87.78,-11.45,,,,-10.8,,-27.51,,2.8,,8.94,,,,,,,,,,,19,
419236199,2010,1,L,05-06-2010,156,L019,Lac Tast,50.12917,-78.31617,Baie James,clay,1.3,1.1,11.35,40.65,979.1,6,15,0.6,2.7,-,0.5,13.85,40,93.7,96.72,9.69,7.45,,2053832,66977,8.58,,,,,,,,,3.51,,57.05,4.09,0.21,0.007,,,,,63.684,7.209,0.008,5.272,0.12,,,1.73,0.196,0.34,0.093,0.061,0.113,0.156,388,483,13.52,0.6,,,12.66,0.151,,3.494,2.82,,,,,-76.87,-9.65,,,,-5.24,,-27.13,,4.46,,5.61,,,,,,,,,,,20,
413112111,2010,1,L,05-06-2010,156,L020,Lac Matis,50.01586,-78.78939,Baie James,kettle,3.6,2.7,11.8,41.9,978.9,6,15,3,27,6,0.5,15.5,21,97.5,100.66,9.72,7.25,,1894894,22407,8.53,,,,,,,,,3.03,0,4.58,3.34,0.189,0.006,,,,,3.292,7.884,0.011,2.291,0.042,,,1.38,0.209,0.323,0.092,0.089,0.128,0.183,397,371,45.24,0.99,,,-2.76,0.209,,2.758,2.364,,,,,-77.23,-9.35,,,,-7.97,,-27.56,,1.75,,3.24,,,,,,,,,,,21,
413112107,2010,1,L,05-06-2010,156,L021,Lac St-Pe,50.116,-78.81436,Baie James,kettle,5,4.15,13.35,38.7,977.15,4,13,4,12.5,5,0.5,15.63,75,98.9,102.21,9.83,7.75,,1192629,16299,24.91,36,0,27,0,,,,,0.96,0.19,2.88,0.63,0.111,0,,,,,0.311,6.197,0.027,8.725,0.127,-0.009,0.001,0.46,0.04,0.153,0.054,0.011,0.121,0.095,390,433,181.1,6.39,,,8.87,1.605,,5.36,4.616,,,,,-78.96,-9.34,,,,-6.3,,-28.43,,8.92,,9.53,,,,,,,,,,,22,
429779401,2010,1,L,06-06-2010,157,L022,Lac Nord Mistaouac,49.52137,-78.7361,Baie James,clay,3.85,3.1,5.85,77.1,975.15,1,10,0.5,0.7,-,0.5,13.09,90,92.4,96.64,9.77,7.96,,2371083,12521,11.85,94.5,4.5,81,0,,,,,3.62,0.28,26.41,1.51,0.313,0.004,,,,,9.79,12.18,0.022,10.126,0.06,-0.044,0.007,4.95,0.913,1.065,0.324,0.189,0.256,0.351,408,449,21.89,4.95,,,9.19,0.013,,5.903,4.629,,,,,-82.5,-10.31,,,,-6.44,,-28.51,,10.5,,7,,,,,,,,,,,23,
429771058,2010,1,L,06-06-2010,157,L023,Lac Mistaouac,49.43882,-78.68597,Baie James,clay,4,2.6,12.1,57.7,974,2,30,0.75,6,-,0.5,15.55,106,92.9,96.71,9.25,7.96,,3764544,106319,12.13,,,,,,,,,2.87,0.65,24.02,1.76,0.223,0.001,,,,,8.944,8.853,0.016,12.036,0.029,,,1.84,0.32,0.439,0.149,0.074,0.159,0.284,398,581,18.57,0.65,,,39.31,0.284,,5.598,4.807,,,,,-84.07,-10.6,,,,-4.94,,-27.58,,12.5,,9.05,,,,,,,,,,,24,pCO2 EAU: mesuré par headspace et non par poumon
429771051,2010,1,L,06-06-2010,157,L024,Lac Ouest Mistaouac,49.45405,-78.79668,Baie James,humique,2.45,1.9,14.75,45,972.65,7,20,1.75,1.9,-,0.5,16.76,10,95.4,99.39,9.27,6.72,,2761223,10061,18.73,135,9,58.5,4.5,,,,,5.66,0.94,18.92,0.31,0.419,0.001,,,,,65.842,10.313,0.062,1.528,0.044,-0.204,0.011,2.99,0.37,0.536,0.144,0.117,0.13,0.318,412,426,159.78,,,,8.59,0.75,,15.815,14.177,,,,,-69.26,-7.68,,,,-14.65,,-27.38,,2,,13.4,,,,,,,,,,,25,pCO2 EAU: mesuré par headspace et non par poumon
341300801,2010,1,L,07-06-2010,158,L026,Lac Mamthet,50.03231,-79.39061,Baie James,kettle,5.5,4.7,6.5,80.4,984.25,8,15,1.75,5.8,-,0.5,14.24,64,93.1,95.56,9.54,7.77,,2340758,48429,,,,,,,,,,2.18,0.15,8.04,0.88,0.213,0.031,,,,,5.763,8.076,0.011,8.586,0.06,,,1.5,0.251,0.341,0.107,0.069,0.123,0.163,391,476,23.27,3.57,,,21.99,0.237,,6.77,5.542,,,,,-77.09,-9.23,,,,,,,,,,,,,,,,,,,,,27,
334477020,2010,1,L,07-06-2010,158,L027,Lac Quasion,49.97872,-79.507,Baie James,humique,3.25,2.75,8.3,78.7,985.35,8,15,1.5,1.5,-,0.5,12.91,39,94.4,96.82,9.97,7.5,,3288478,20013,,94.5,4.5,58.5,13.5,,,,,2.04,,7.41,0.25,0.374,0.015,,,,,7.798,14.839,0.148,4.68,0.084,,,4.15,1.59,1.608,0.485,0.293,0.33,0.808,392,366,15.99,0.06,,,-4.13,0.034,,4.183,3.258,,,-90.16,-12.1,,,,,,-10.85,-5.08,,-27.09,4.33,3.34,,14.05,104.96,12.36,-31.83,-1.12,8.49,-184.9,0.2,,0.206,28,
413076840,2010,1,L,07-06-2010,158,L028,Lac Tario,49.87036,-79.19489,Baie James,"humique, coupes autour",5.3,4.15,10.75,70.7,984.25,5,23,0.5,1.2,-,0.5,13.66,63,108.2,110.98,11.24,7.7,,3015375,654675,,67.5,13.5,45,9,,,,,7.57,2.34,28.58,4.07,0.502,0.016,,,,,5.081,15.355,0.191,6.879,0.051,,,6.56,1.577,1.697,0.53,0.273,0.328,0.465,393,456,58.28,3.77,,,14.53,0.378,,6.054,4.851,,,,,-81.67,-10.19,,,,-8.65,-6.49,,-26.92,6.51,5.9,,15.89,,,,,,,,,,29,
334477020,2010,2,L,20-07-2010,201,L045,Lac Quasion,49.97888,-79.50583,Baie James,humique,3.2,2.2,21.8,52,983.8,1,5,1.1,1.3,-,0.5,20.11,42,119.8,123.03,10.88,7.43,,2643832,12430,19.89,81,0,76.5,3.18,,,,,2.19,0.21,7.49,0.12,0.41,0.007,,,,,15.942,20.25,0.126,0.794,0.024,-0.071,0.007,5.87,2.369,2.349,0.851,0.305,0.399,0.663,377,699,155.77,,,,49.29,0.307,,3.905,3.921,-70,-10.46,,,,,0,12.05,23.27,,-7.87,,-27.17,,3.51,,17.24,157.28,16.13,-31.79,-0.3,9.75,-179.5,0.2,,0.203,48,
413076840,2010,2,L,20-07-2010,201,L046,Lac Tario,49.87,-79.19556,Baie James,humique,0.3,0,22.8,43.7,984.15,0,0,1.3,1.3,-,0.5,20.62,66,89.8,92.18,8.07,7.68,,5403236,43651,22.8,64.5,3.18,54,6.36,,,,,7.85,0.89,14.49,0.56,0.41,0.014,,,,,2.323,19.451,1.009,0.989,0.07,-0.02,0.004,4.95,1.458,1.519,0.547,0.099,0.349,0.504,378,635,545.52,0.78,,,9.78,1.018,,0.969,0.989,-63.12,-7.83,,,,,0,12.11,23.1,,,,,,,,,,,,,,,,,,49,Z Secchi plus profond que Z max
413076841,2010,2,L,20-07-2010,201,L047,Lac Bambi,49.8575,-79.16472,Baie James,humique,2.9,1.7,24.6,43.5,983.8,1,3,1.1,1.1,-,0.5,20.22,35,95.9,88.42,7.8,7.8,,4100009,38546,15.26,90,6.36,58.5,9.55,,,,,2.62,,17.21,0.81,0.376,0.008,,,,,28.255,19.341,0.307,0.786,0.113,,,9.33,2.364,2.334,0.729,0.201,0.254,0.682,385,675,105.32,15.24,,,34.81,0.032,,3.06,3.084,-49.58,-7.75,,,,,,12.3,24.09,,,,,,,,,,,,,,,,,,50,
413076854,2010,2,L,20-07-2010,201,L048,Lac Carheil,49.76222,-79.15333,Baie James,humique,2.4,1.35,23.85,45.9,982.55,3,4,0.6,1.5,-,0.5,21.06,42,93.1,96.62,8.37,7.42,,2783115,38565,11.82,81,6.36,36,0,,,,,3.72,0.5,26.26,1.3,0.307,0.001,,,,,2.865,14.784,0.095,0.932,0.011,-0.007,0.004,6.68,1.012,1.161,0.353,0.153,0.224,0.342,378,532,45.43,,,,22.27,0.032,,3.675,3.807,-63.68,-7.94,,,,,,12.12,23.61,,,,,,,,,,,,,,,,,,51,
